mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,emotion,filename
-299.9845,87.31902,-61.83323,-17.852484,-19.937574,-20.551935,-33.7954,-11.341667,-19.700586,-19.773966,-16.76929,-14.728676,-11.027959,anger,a19 (2).wav
-328.03912,91.234276,-17.556215,14.4514675,-4.864509,-8.769917,-27.78087,-16.22111,-14.777812,-20.292595,-13.681153,-13.03211,-20.015177,happiness,h16 (1).wav
-280.33783,107.64282,-8.899505,21.771627,-1.7222048,6.5657883,-25.252258,0.15219915,-18.3404,-26.169554,-3.3753872,-8.557215,-8.04266,sadness,s15 (1).wav
-311.2936,103.1629,-41.68706,10.878167,-7.341278,-8.662815,-15.944193,7.8255076,-5.3742256,-20.204493,-6.6726904,-2.04174,-7.759924,anger,a13 (5).wav
-256.6758,76.8743,-26.352484,40.261818,-16.78961,10.500903,-10.3138685,-4.6858664,-8.797047,-6.2921658,-21.765003,-14.74524,-17.972761,disgust,d10 (4).wav
-303.51538,79.17261,-42.250645,-4.1749806,-27.255411,-5.3476486,-32.732704,-13.747608,-15.874526,-26.036612,-19.744917,-11.824361,-20.771725,fear,f08 (1).wav
-322.08224,80.144844,-47.250607,22.267696,-7.092192,-5.9784317,-17.517878,0.59637207,-9.510481,-14.102441,-5.537586,-3.709166,-6.793246,anger,a02 (5).wav
-339.85074,104.88507,-40.466896,1.2530853,-30.817394,-2.630114,-17.268927,-23.77261,-15.699822,-16.917667,-22.102667,-16.047363,-8.734605,happiness,h19 (4).wav
-408.12802,68.331955,3.4005811,7.27917,-0.67034084,6.4915705,-16.182055,4.7171183,4.8226504,-6.4546814,-5.2429895,4.8692245,-2.7689173,anger,a13 (6).wav
-430.78235,72.99959,6.7194095,20.119535,3.8266807,13.284221,-8.141115,5.3170857,3.4689324,-3.189011,-4.345725,3.8078718,-2.8690822,fear,f18 (6).wav
-268.10495,72.55449,-46.60419,20.92466,-26.619127,-1.3743987,-42.54506,-9.441924,-14.569511,-20.765491,-11.031437,-11.819431,-23.10955,anger,a10 (1).wav
-275.3792,95.62875,-44.344177,13.27522,-25.549532,6.5161324,-22.587118,-14.776665,-15.652825,-10.118918,-15.792743,-7.074022,-20.491987,anger,a20 (4).wav
-320.0059,97.84607,-35.855183,-2.0105305,-12.131058,-4.2657084,-33.52253,-5.29815,-6.199701,-23.480589,-13.836112,-9.907604,-21.838057,anger,a19 (1).wav
-273.54913,125.792534,2.8826628,13.512303,-6.2782583,3.8857632,-17.865282,5.812376,-14.849625,-20.140953,-5.409432,-7.6112294,-6.524338,sadness,s19 (1).wav
-278.113,77.34647,-22.610212,31.447279,-28.136206,9.51715,-13.384547,-10.584576,-16.48413,-8.627404,-20.437681,-17.555103,-9.697248,happiness,h02 (3).wav
-332.03043,102.17119,-17.386414,18.43622,-12.751927,5.8344035,-10.304388,-14.347435,-7.9621224,-12.260467,-18.805738,-12.976524,-15.293959,disgust,d19 (4).wav
-336.56628,111.930695,-16.753363,-10.8649025,-19.979273,-6.037148,-33.202976,0.25918415,-9.807473,-30.16366,-17.02676,-5.836651,-22.954172,anger,a06 (1).wav
-332.651,87.53282,-43.612576,6.016862,-2.1048656,-0.5922761,-17.328379,-14.891169,-14.545355,1.477523,-3.734317,6.856802,0.17588854,disgust,d15 (5).wav
-352.3869,88.89004,-29.007513,22.962454,-9.07882,4.7387624,-23.673622,2.0234625,-14.822402,-19.123438,-13.222203,-16.958069,-18.149134,disgust,d11 (1).wav
-294.40594,77.17401,-64.39301,-7.1310525,-33.70707,-14.461929,-41.586006,-14.922225,-17.567575,-23.476488,-20.954945,-13.432178,-21.267952,anger,a15 (2).wav
-305.94824,110.138985,-13.923437,17.175982,-19.088024,11.481032,-12.318154,-12.44422,-4.2067943,-8.897902,-20.888304,-13.906188,-3.983785,anger,a01 (3).wav
-429.7282,58.545235,3.0752923,16.805578,8.659438,13.884621,-10.068048,3.467621,4.498171,0.66080546,-4.0345306,5.7267294,-1.5874429,happiness,h02 (6).wav
-244.81757,95.83589,-14.194265,33.917168,-6.2069807,13.323623,-28.411432,-1.7382634,-10.281132,-18.829578,-15.189362,-9.823248,-16.12126,sadness,s10 (1).wav
-321.5404,174.38962,19.783422,48.102783,13.003468,-1.4040842,27.605505,-11.238136,-6.6713257,13.901354,-17.93938,-13.392224,4.481676,sadness,s20 (3).wav
-293.60733,96.83434,-37.40965,5.2474475,-14.251541,-12.6386595,-40.80772,-5.2842216,-12.431446,-27.068583,-21.870476,-15.626508,-24.768118,happiness,h02 (2).wav
-308.1039,89.89319,-26.073639,19.2069,-12.009343,4.519752,-23.218613,-1.1476511,-11.391994,-14.703693,-11.356538,-5.685278,-10.597562,fear,f13 (5).wav
-422.1411,56.887577,-5.507104,1.9799154,-3.9873862,7.606816,-8.380758,4.3000855,-0.115354344,-3.4716125,-1.178422,4.3905163,-0.47456446,anger,a12 (6).wav
-267.2638,87.06934,-16.59395,10.055583,-27.19814,5.7800164,-26.844824,-11.757108,-21.763302,-23.060755,-24.859869,-11.261684,-17.151642,disgust,d03 (2).wav
-271.38986,115.35712,-7.569245,46.535072,-12.2574005,15.102974,-10.80113,-0.23776482,12.496638,-4.50727,-10.212837,-1.2752596,-6.2891655,sadness,s13 (4).wav
-299.73544,98.52229,-24.044796,19.60959,-24.473694,7.5054755,-16.205452,-13.190905,-12.149492,-10.180198,-15.967188,-13.739694,-13.25884,happiness,h14 (4).wav
-334.67804,106.337814,28.167398,72.25978,2.0725257,-0.2762882,-36.092888,10.822447,-0.4606826,-10.456411,-10.958614,-27.447819,-13.194061,sadness,s20 (2).wav
